system_id,gamma_pdc,tier,matched,n_candidates,technology,raw_manufacturer,raw_model,capacity_kw,module_watts,delta_vs_old
1272,-0.0031,cec_manufacturer,SANYO,110,SJT,Sanyo,hit-220a,9.46,220.0,0.0013999999999999998
1273,-0.0031,cec_manufacturer,SANYO,110,SJT,Sanyo,hit-215a,5.16,215.0,0.0013999999999999998
1274,-0.00386,cec_module,SPRE19320,5,mono-Si,SunPower,spr-e19-320,5.76,320.0,0.0006399999999999995
1284,-0.0034000000000000002,cec_module,SF150L,1,Unknown,solar frontier,SF 150-L,1.2,150.0,0.0010999999999999994
1289,-0.004,cec_module,STN130,1,cylindrical cigs,stion corporation,stn-130,1.82,130.0,0.0004999999999999996
1334,-0.00415,cec_module,STP27024VB1,1,multi-Si,Suntech,stp270-24-vb-1,3.24,270.0,0.0003499999999999996
1335,-0.0047615,cec_module,PM235P,8,multi-Si,conergy,pm-235p,2.82,235.0,-0.00026150000000000045
1336,-0.0044,cec_module,POLY225,2,multi-Si,schott,poly 225,3.6,225.0,9.99999999999994e-05
1337,-0.0044,cec_module,POLY230,2,multi-Si,schott,poly 230,5.06,230.0,9.99999999999994e-05
1338,-0.00336,cec_module,HITN220A01,1,SJT,Sanyo,hit-n220a01,13.2,220.0,0.0011399999999999995
1339,-0.00386,cec_manufacturer,SUNPOWER,190,mono-Si,SunPower,e18/225,4.05,225.0,0.0006399999999999995
1340,-0.0043,cec_module,CS5P230P,1,multi-Si,canadian solar,cs5p-230p,3.45,230.0,0.00019999999999999966
1342,-0.00434,cec_module,MPE185MS05,1,mono-Si,schuco,mpe 185 ms 05,4.625,185.0,0.00015999999999999955
1343,-0.0043785000000000004,cec_module,CS6P235P,4,multi-Si,canadian solar,cs6p-235p,8.46,235.0,0.00012149999999999921
1344,-0.00386,cec_manufacturer,SUNPOWER,190,mono-Si,SunPower,e18/230,9.2,460.0,0.0006399999999999995
1345,-0.00461,cec_module,PM240P,18,multi-Si,conergy,pm-240p,3.36,240.0,-0.00011000000000000072
1346,-0.00386,cec_module,SPRE19315,2,mono-Si,SunPower,spr-e19-315,8.82,315.0,0.0006399999999999995
1347,-0.00386,cec_manufacturer,SUNPOWER,190,mono-Si,SunPower,e18/238,6.426,238.0,0.0006399999999999995
1349,-0.0046872,cec_module,MPE230PS09,1,multi-Si,schuco,mpe-230-ps09,5.75,230.0,-0.0001872000000000002
1350,-0.0043,cec_module,CS5P235P,1,multi-Si,canadian solar,cs5p-235p,4.23,235.0,0.00019999999999999966
1351,-0.0043,cec_module,CS5P230P,1,multi-Si,canadian solar,cs5p-230p,4.14,230.0,0.00019999999999999966
1352,-0.0043,cec_module,CS5P235P,1,multi-Si,canadian solar,cs5p-235p,4.23,235.0,0.00019999999999999966
1353,-0.0043135,cec_module,CS6P230P,4,multi-Si,canadian solar,cs6p-230p,4.14,230.0,0.00018650000000000003
1354,-0.0043,cec_module,CS5P240P,1,multi-Si,canadian solar,cs5p-240p,4.32,240.0,0.00019999999999999966
1355,-0.004515,cec_technology,Multi-c-Si,11221,ribbon polycrystalline si,Evergreen,es-180-sl,2.7,180.0,-1.5000000000000256e-05
1356,-0.00417,cec_module,CS6P200P,3,multi-Si,canadian solar,cs6p-200p,2.8,200.0,0.00032999999999999956
1357,-0.00417,cec_module,CS6P200P,3,multi-Si,canadian solar,cs6p-200p,2.8,200.0,0.00032999999999999956
1358,-0.0043135,cec_module,CS6P230P,4,multi-Si,canadian solar,cs6p-230p,4.14,230.0,0.00018650000000000003
1359,-0.0043,cec_module,CS5P230P,1,multi-Si,canadian solar,cs5p-230p,4.14,230.0,0.00019999999999999966
1360,-0.00417,cec_module,CS6P200P,3,multi-Si,canadian solar,cs6p-200p,2.8,200.0,0.00032999999999999956
1361,-0.0043,cec_module,CS5P240P,1,multi-Si,canadian solar,cs5p-240p,4.32,240.0,0.00019999999999999966
1362,-0.0031,cec_manufacturer,SANYO,110,SJT,Sanyo,hit-220a,9.46,220.0,0.0013999999999999998
1363,-0.0031,cec_manufacturer,SANYO,110,SJT,Sanyo,hit-215a,5.16,215.0,0.0013999999999999998
1364,-0.00386,cec_module,SPRE19320,5,mono-Si,SunPower,spr-e19-320,5.76,320.0,0.0006399999999999995
1403,-0.004450000000000001,cec_module,OPT27060,2,mono-Si,suniva,opt270-60 blk-blk,6.0,272.72727272727275,4.999999999999883e-05
1422,-0.004450000000000001,cec_module,OPT27060,2,mono-Si,suniva,opt270-60 blk-blk,6.0,250.0,4.999999999999883e-05
1423,-0.004450000000000001,cec_module,OPT27060,2,mono-Si,suniva,opt270-60 blk-blk,6.0,250.0,4.999999999999883e-05
1429,-0.004450000000000001,cec_module,OPT27060,2,mono-Si,suniva,opt270-60 blk-blk,6.0,272.72727272727275,4.999999999999883e-05
10000,-0.00453,cec_module,SLK60P6L,90,multi-Si,Siliken SLK60P6L,Siliken SLK60P6L,5.85,325.0,-3.0000000000000512e-05
10001,-0.004515,cec_technology,Multi-c-Si,11221,multi-Si,Evergreen ES-A-210-fa2,Evergreen ES-A-210-fa2,3.36,210.0,-1.5000000000000256e-05
10003,-0.0045,fleet_default,cec_xsi_median,0,Unknown,NBSolar 220,NBSolar 220,11.04,230.0,0.0
10006,-0.00424,cec_manufacturer,CANADIANSOLAR,409,multi-Si,Canadian Solar CS6P-PX,Canadian Solar CS6P-PX,6.9,230.0,0.0002599999999999998
10010,-0.0043,cec_manufacturer,SOLARWORLD,89,Unknown,Trina/Helios/Phono/Solarworld,Trina/Helios/Phono/Solarworld,12.192,254.0,0.00019999999999999966
10012,-0.00386,cec_manufacturer,SUNPOWER,190,multi-Si,SunPower Serengeti E13,SunPower Serengeti E13,7.524,228.0,0.0006399999999999995
10013,-0.00458,cec_manufacturer,SHARP,145,mono-Si,Sharp NU240F1,Sharp NU240F1,4.56,240.0,-8.000000000000021e-05
10014,-0.00453,cec_module,PV300,2,mono-Si,Solar World PV300,Solar World PV300,6.0,300.0,-3.0000000000000512e-05
10017,-0.0043,cec_module,SUNPOWERSPR240EWHTD,1,mono-Si IBC,SunPower SPR-240E-WHT-D,SunPower SPR-240E-WHT-D,7.2,240.0,0.00019999999999999966
10018,-0.00458,cec_manufacturer,SHARP,145,Unknown,Sharp 220,Sharp 220,5.04,210.0,-8.000000000000021e-05
10019,-0.004486,cec_manufacturer,YINGLI,57,multi-Si,Yingli YL23OP-29b,Yingli YL23OP-29b,7.82,230.0,1.3999999999999256e-05
10020,-0.00417,cec_module,STP22520,3,multi-Si,Suntech STP-225-20/Wd,Suntech STP-225-20/Wd,6.525,225.0,0.00032999999999999956
10021,-0.00458,cec_manufacturer,SHARP,145,Unknown,Sharp,240,6.72,240.0,-8.000000000000021e-05
10022,-0.00417,cec_module,STP22520,3,multi-Si,Suntech STP-225-20/Wd,Suntech STP-225-20/Wd,6.525,225.0,0.00032999999999999956
10024,-0.00458,cec_manufacturer,SHARP,145,Unknown,Sharp 175,Sharp 175,7.7,175.0,-8.000000000000021e-05
10026,-0.0045000000000000005,cec_manufacturer,TRINA,970,mono-Si,Trina TSM-DA05,Trina TSM-DA05,8.28,230.0,-8.673617379884035e-19
10027,-0.004450000000000001,cec_module,REC235PEUS,4,multi-Si,REC235PE-US,REC235PE-US,4.7,235.0,4.999999999999883e-05
10028,-0.00386,cec_manufacturer,SUNPOWER,190,mono-Si IBC,Sunpower 240WHT,Sunpower 240WHT,3.84,240.0,0.0006399999999999995
10029,-0.00458,cec_module,SHARPNUU230F3,1,mono-Si,Sharp NU-U230F3,Sharp NU-U230F3,11.04,230.0,-8.000000000000021e-05
10030,-0.00393,cec_module,SUNPOWERSPR230W,1,mono-Si IBC,SunPower SPR-230-W,SunPower SPR-230-W,4.6,230.0,0.0005699999999999993
10031,-0.00458,cec_manufacturer,SHARP,145,mono-Si,Sharp Nu-240,Sharp Nu-240,4.8,240.0,-8.000000000000021e-05
10032,-0.00446,cec_module,ETM572180,10,mono-Si,ET-M572180,ET-M572180,3.24,180.0,3.999999999999924e-05
10033,-0.0043,cec_manufacturer,SOLARWORLD,89,mono-Si,Solar World SW 245 Mono,Solar World SW 245 Mono,4.41,245.0,0.00019999999999999966
10034,-0.00453,cec_module,SW245,5,mono-Si,SolarWorld SW-245,SolarWorld SW-245,4.41,245.0,-3.0000000000000512e-05
10035,-0.00439,cec_module,SHARPND224UC1,1,multi-Si,Sharp ND-224UC1,Sharp ND-224UC1,9.408,224.0,0.00010999999999999985
10036,-0.004515,cec_technology,Multi-c-Si,11221,multi-Si,Sunmodule SW Poly 240,Sunmodule SW Poly 240,1.92,240.0,-1.5000000000000256e-05
10037,-0.004586,cec_module,YL235P29B,1,multi-Si,Yingli YL235P-29B,Yingli YL235P-29B,6.58,235.0,-8.600000000000014e-05
10038,-0.0048,cec_module,CS6P200PE,1,multi-Si,Canadian Solar,CS / CS6P-200PE & CS6P-225P,2.544,212.0,-0.0002999999999999999
10039,-0.00525,cec_module,LG240M1C,1,mono-Si,LG240M1C,LG240M1C,6.48,240.0,-0.0007500000000000007
10040,-0.0044800000000000005,cec_module,SF22030P,16,multi-Si,Hanwha,sf220-30-P,8.325,225.0,1.9999999999999185e-05
10041,-0.00439,cec_module,SHARPNDU240Q2,1,multi-Si,Sharp ND-U240Q2,Sharp ND-U240Q2,4.08,240.0,0.00010999999999999985
10042,-0.0045000000000000005,cec_manufacturer,TRINA,970,multi-Si,Trina 230,Trina 230,10.81,230.0,-8.673617379884035e-19
10043,-0.004396,cec_module,LUMOSLS250,7,mono-Si,Lumos LS250,Lumos LS250,5.5,250.0,0.00010399999999999993
10044,-0.0045000000000000005,cec_manufacturer,TRINA,970,multi-Si,Trina Solar TSM-230-PC05,Trina Solar TSM-230-PC05,11.04,230.0,-8.673617379884035e-19
10045,-0.00498,cec_module,LPC247SM,1,mono-Si,Samsung LPC247SM,Samsung LPC247SM,7.41,247.0,-0.0004800000000000004
10046,-0.0045,fleet_default,cec_xsi_median,0,Unknown,ST 245WDE+HW HSL60245+BFRG3260,ST 245WDE+HW HSL60245+BFRG3260,8.82,245.0,0.0
10047,-0.00469,cec_module,YL230,1,multi-Si,Yingli Solar YL230,Yingli Solar YL230,4.6,230.0,-0.00019000000000000006
10048,-0.0045000000000000005,cec_technology,Mono-c-Si,9725,mono-Si,Perlite PLM-250-M-60-BLK,Perlite PLM-250-M-60-BLK,10.0,250.0,-8.673617379884035e-19
10049,-0.0043,cec_module,KD235GXLPB,1,multi-Si,USA Kyocera KD235GX-LPB,USA Kyocera KD235GX-LPB,6.58,235.0,0.00019999999999999966
10050,-0.0045000000000000005,cec_module,SUNIVAMVP235,1,multi-Si,Suniva MVP 235,Suniva MVP 235,3.76,235.0,-8.673617379884035e-19
10051,-0.0043,cec_manufacturer,SOLARWORLD,89,Unknown,SolarWorld/Sunmodule,SolarWorld/Sunmodule,4.59,255.0,0.00019999999999999966
10053,-0.0045,fleet_default,cec_xsi_median,0,Unknown,Schuco 235 QCell 305,Schuco 235 QCell 305,6.58,235.0,0.0
10054,-0.00458,cec_manufacturer,HANWHA,1332,Unknown,Hanwha,,5.4,225.0,-8.000000000000021e-05
10055,-0.0045,fleet_default,cec_xsi_median,0,Unknown,several,several,7.75,250.0,0.0
10056,-0.0045000000000000005,cec_module,TSM235PA05,11,multi-Si,Trina/TSM-235PA05,Trina/TSM-235PA05,11.28,235.0,-8.673617379884035e-19
10058,-0.0045,fleet_default,cec_xsi_median,0,Unknown,ST 245WDE+HW HSL60245+BFRG3260,ST 245WDE+HW HSL60245+BFRG3260,8.1,225.0,0.0
10059,-0.00393,cec_module,SUNPOWERSPR230WHT,1,mono-Si IBC,Sunpower SPR-230-WHT,Sunpower SPR-230-WHT,6.9,230.0,0.0005699999999999993
10060,-0.0043,cec_module,KD240GXLFB,2,multi-Si,Kyocera KD240GX-LFB,Kyocera KD240GX-LFB,2.25,225.0,0.00019999999999999966
10062,-0.00458,cec_manufacturer,SHARP,145,Unknown,Sharp 240,Sharp 240,1.0,250.0,-8.000000000000021e-05
10063,-0.0043,cec_module,SPR238EWHTD,1,mono-Si IBC,SPR-238E-WHT-D,SPR-238E-WHT-D,6.902,238.0,0.00019999999999999966
10064,-0.0045,fleet_default,cec_xsi_median,0,Unknown,Mage Solar,Mage Solar,4.32,240.0,0.0
10065,-0.0043,cec_manufacturer,SOLARWORLD,89,Unknown,SolarWorld sw 240,SolarWorld sw 240,5.28,240.0,0.00019999999999999966
10067,-0.0043,cec_manufacturer,REC,725,Unknown,REC,REC,6.24,240.0,0.00019999999999999966
10068,-0.0032400000000000003,cec_module,SUNPOWERSPR245NEWHTD,1,mono-Si IBC,Sunpower SPR-245NE-WHT-D,Sunpower SPR-245NE-WHT-D,3.675,245.0,0.0012599999999999994
10069,-0.0039000000000000003,cec_manufacturer,LG,371,Unknown,LG Electronics 250 watt,LG Electronics 250 watt,5.0,250.0,0.0005999999999999994
10070,-0.00466,cec_manufacturer,SCHOTT,37,Unknown,6REC250 6Sharp240 6Schott245,6REC250 6Sharp240 6Schott245,4.41,245.0,-0.00016000000000000042
10071,-0.0043,cec_manufacturer,SOLARWORLD,89,mono-Si,SolarWorld 255 Mono V 2.0,SolarWorld 255 Mono V 2.0,5.355,255.0,0.00019999999999999966
10072,-0.0045000000000000005,cec_module,TSM255,42,multi-Si,Trina TSM-255 PC/PA05A,Trina TSM-255 PC/PA05A,6.12,255.0,-8.673617379884035e-19
