sid,lat,lon,kw,yrs,climate,station,km,st_iwsr,st_y0,st_y1,st_ny,st_loss
10336,34.292898,-118.87134,6.0,10.2904,Csb,7086_ac_power_inv_14714,9.4,0.944,2010,2016,7,5.600000000000005
10652,33.997179,-118.40145,4.8,8.7178,Csb,5328_dc_power_inv_4559,9.4,0.9755,2017,2022,6,2.4499999999999966
10929,33.828766,-118.31367,7.15,7.2904,Csb,5326_ac_power_inv_4547,9.4,0.976,2017,2022,6,2.400000000000002
11103,33.957957,-117.24833,6.6,6.2356,Csa,NREL UCRiverside,9.7,0.964,2017,2017,1,3.600000000000003
11620,32.662563,-116.95413,5.44,8.7232,Csa,5980_ac_power_inv_14476,9.7,0.976,2011,2016,6,2.400000000000002
10542,33.857416,-118.25633,5.355,4.8,Csb,5326_ac_power_inv_4547,9.7,0.976,2017,2022,6,2.400000000000002
12005,32.662563,-116.95413,8.25,6.2054,Csa,5980_ac_power_inv_14476,9.7,0.976,2011,2016,6,2.400000000000002
10832,32.366724,-110.966381,8.82,6.1315,Bsh,5259_ac_power_inv_3782,9.8,0.987,2016,2022,7,1.3000000000000012
10597,38.664824,-121.52061,6.21,8.8438,Csa,13045_ac_power_inv_23345,9.8,0.939,2016,2021,6,6.100000000000005
10707,34.384663,-118.58704,12.06,7.1315,Csb,5281_ac_power_inv_6010,10.0,0.975,2016,2022,7,2.500000000000002
11070,34.277681,-118.661539,7.59,6.5041,Csb,7086_ac_power_inv_14714,10.0,0.944,2010,2016,7,5.600000000000005
